article_id,article_published_at,consolidated_event_tags,consolidated_event_type,consolidated_factor_name,factor_category,event_tag_category,factor_magnitude,factor_movement,article_source_credibility,market_perception_intensity,causal_certainty,ai_assessment_business_impact_likelihood,ai_assessment_competitive_risk,ai_assessment_execution_risk,abs_change_1day_after_pct
sample_011,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,5.9,-1,7.3,7.7,0.63,0.9,0.57,0.69,-3.05
sample_012,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,5.2,-1,7.4,8.7,0.73,0.84,0.31,0.5,-3.45
sample_013,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.5,-1,7.4,7.4,0.89,0.95,0.8,0.17,-2.23
sample_014,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,9.3,-1,7.0,6.2,0.36,0.45,0.61,0.17,0.01
sample_015,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,9.4,1,7.4,6.5,0.43,0.36,0.76,0.32,3.26
sample_016,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,5.7,-1,8.6,6.7,0.49,0.85,0.45,0.22,2.19
sample_017,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,9.3,-1,7.5,5.7,0.83,0.72,0.47,0.57,0.61
sample_018,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,3.2,-1,6.2,8.0,0.63,0.62,0.17,0.71,1.37
sample_019,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,6.3,-1,8.1,8.3,0.53,0.53,0.81,0.18,-0.89
sample_020,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,5.5,1,9.2,8.7,0.41,0.45,0.54,0.22,-4.35
sample_021,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,7.0,-1,9.2,5.2,0.52,0.81,0.59,0.49,-4.66
sample_022,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,3.5,-1,7.2,7.2,0.7,0.8,0.57,0.36,-0.04
sample_023,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,7.2,-1,9.2,8.1,0.8,0.54,0.9,0.33,-4.66
sample_024,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.8,-1,7.4,5.5,0.77,0.59,0.29,0.59,-1.91
sample_025,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,7.8,1,8.2,4.9,0.65,0.62,0.56,0.42,0.14
sample_026,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,4.7,1,6.2,7.6,0.61,0.6,0.78,0.2,3.07
sample_027,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,9.3,1,7.4,4.9,0.57,0.52,0.32,0.6,-4.43
sample_028,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,6.9,1,6.9,5.6,0.53,0.39,0.22,0.51,-1.98
sample_029,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,8.9,-1,6.5,5.8,0.44,0.69,0.65,0.37,3.61
sample_030,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,9.5,-1,8.1,8.2,0.41,0.31,0.86,0.23,-3.32
sample_031,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,8.2,1,6.4,8.4,0.84,0.51,0.23,0.38,3.03
sample_032,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,7.1,-1,9.0,5.3,0.46,0.77,0.13,0.17,3.26
sample_033,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,9.1,1,6.3,6.8,0.46,0.46,0.74,0.54,-2.44
sample_034,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.1,-1,8.9,4.5,0.93,0.71,0.67,0.77,-4.39
sample_035,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.8,-1,7.3,7.3,0.65,0.88,0.73,0.44,4.83
sample_036,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,3.5,1,6.9,4.3,0.8,0.55,0.17,0.34,-1.62
sample_037,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,4.5,-1,7.8,6.7,0.48,0.27,0.3,0.55,0.11
sample_038,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,7.7,-1,6.2,8.9,0.49,0.3,0.79,0.35,4.02
sample_039,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,3.6,1,8.1,6.8,0.38,0.21,0.25,0.7,1.28
sample_040,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,3.9,-1,7.4,6.1,0.67,0.31,0.51,0.65,2.87
sample_041,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,8.2,-1,8.2,7.4,0.77,0.53,0.11,0.58,4.1
sample_042,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,3.3,1,8.4,6.4,0.67,0.71,0.35,0.74,-1.23
sample_043,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,4.9,-1,8.9,4.6,0.8,0.24,0.11,0.12,1.76
sample_044,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,6.7,1,8.6,6.5,0.54,0.84,0.62,0.6,2.26
sample_045,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.3,1,9.3,4.4,0.74,0.59,0.35,0.14,-4.08
sample_046,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,8.4,1,9.2,4.8,0.48,0.9,0.35,0.17,-3.62
sample_047,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.5,1,7.7,4.6,0.8,0.56,0.85,0.67,-4.23
sample_048,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.9,-1,9.3,8.4,0.94,0.95,0.39,0.31,4.49
sample_049,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,9.0,1,8.4,7.4,0.46,0.95,0.36,0.41,-3.8
sample_050,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,4.9,1,7.1,4.1,0.31,0.42,0.23,0.42,-3.7
sample_051,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.0,1,7.7,5.8,0.62,0.47,0.79,0.63,-0.61
sample_052,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,5.2,1,7.5,7.0,0.55,0.46,0.8,0.53,1.17
sample_053,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,6.4,1,6.9,4.0,0.44,0.52,0.22,0.13,-3.37
sample_054,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,6.3,1,6.7,4.6,0.87,0.69,0.63,0.75,-2.42
sample_055,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,6.2,1,7.9,6.2,0.92,0.28,0.27,0.3,-4.42
sample_056,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,3.4,-1,8.6,8.8,0.4,0.88,0.42,0.38,-0.94
sample_057,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,4.1,-1,8.4,7.0,0.94,0.33,0.53,0.24,-3.76
sample_058,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.1,-1,9.2,6.5,0.9,0.31,0.86,0.18,-2.62
sample_059,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,3.6,-1,7.3,7.9,0.68,0.67,0.87,0.74,4.89
sample_060,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,4.6,-1,6.9,8.2,0.69,0.85,0.15,0.19,4.14
sample_061,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,7.1,1,9.3,6.5,0.76,0.67,0.63,0.47,-3.24
sample_062,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,3.6,1,8.5,8.0,0.62,0.88,0.35,0.69,0.63
sample_063,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,7.1,-1,8.8,4.6,0.5,0.29,0.53,0.74,1.75
sample_064,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,8.0,1,8.8,8.0,0.82,0.93,0.34,0.39,-0.78
sample_065,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,8.1,1,8.9,6.3,0.78,0.24,0.58,0.77,-2.6
sample_066,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,6.1,1,7.2,5.1,0.54,0.83,0.16,0.76,4.44
sample_067,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,7.2,-1,6.8,7.2,0.51,0.65,0.69,0.67,-1.67
sample_068,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,8.3,1,6.1,5.6,0.91,0.26,0.89,0.52,4.63
sample_069,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,6.3,-1,8.6,6.9,0.64,0.39,0.46,0.57,-3.11
sample_070,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,7.6,-1,6.6,8.7,0.84,0.78,0.25,0.78,-4.23
sample_071,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,6.2,1,7.6,6.2,0.4,0.92,0.69,0.38,3.12
sample_072,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,5.8,-1,7.3,7.2,0.32,0.68,0.86,0.5,3.3
sample_073,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,5.8,-1,6.0,6.9,0.49,0.65,0.47,0.27,3.96
sample_074,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,7.1,1,6.7,4.1,0.59,0.64,0.83,0.34,4.36
sample_075,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,8.2,-1,8.3,5.2,0.68,0.68,0.68,0.59,0.94
sample_076,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,9.4,-1,7.0,6.2,0.6,0.42,0.37,0.21,-3.83
sample_077,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,8.1,-1,7.7,7.8,0.94,0.44,0.52,0.74,2.73
sample_078,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,4.5,-1,8.2,8.8,0.61,0.23,0.7,0.77,3.15
sample_079,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,7.5,1,6.6,7.7,0.79,0.37,0.41,0.28,-4.41
sample_080,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,4.8,1,7.6,5.9,0.61,0.71,0.28,0.3,-1.14
sample_081,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,8.6,-1,9.2,5.8,0.57,0.27,0.34,0.44,1.36
sample_082,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,8.2,-1,8.1,7.0,0.7,0.81,0.7,0.7,-1.42
sample_083,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,6.6,-1,6.7,8.9,0.83,0.51,0.42,0.29,1.25
sample_084,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,6.6,-1,8.8,6.5,0.59,0.56,0.78,0.78,3.92
sample_085,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,3.6,1,8.3,7.2,0.78,0.63,0.45,0.61,-1.87
sample_086,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,3.9,-1,7.9,4.2,0.33,0.65,0.53,0.58,-2.89
sample_087,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,8.5,1,7.2,5.9,0.81,0.35,0.5,0.78,1.61
sample_088,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,4.6,1,9.3,8.1,0.41,0.55,0.73,0.78,-2.79
sample_089,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,4.6,1,6.1,5.9,0.73,0.29,0.16,0.79,-4.5
sample_090,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,5.2,1,9.3,7.7,0.54,0.94,0.48,0.51,3.09
sample_091,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,8.1,1,8.9,6.7,0.4,0.8,0.52,0.14,0.69
sample_092,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,8.4,1,6.1,6.1,0.36,0.64,0.67,0.58,0.9
sample_093,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,8.4,-1,9.0,8.3,0.34,0.62,0.3,0.53,-2.44
sample_094,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,8.9,1,6.1,8.4,0.82,0.71,0.33,0.56,1.37
sample_095,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,7.2,-1,6.2,5.1,0.34,0.32,0.65,0.17,0.88
sample_096,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,4.9,-1,6.5,8.3,0.79,0.54,0.88,0.18,4.24
sample_097,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,5.3,-1,8.9,8.6,0.91,0.89,0.15,0.21,0.74
sample_098,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,9.0,1,8.6,7.7,0.41,0.74,0.79,0.79,-4.48
sample_099,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,8.4,1,6.0,6.8,0.85,0.35,0.61,0.34,-1.52
